性別,球員,#,聯盟,球隊,連結,現役,身份,新秀,聯盟身份,位置,身高,體重,生日,學歷,入隊方式,class,合約,,剩餘年限,備注,,2023-24 球隊,,GP,PPG,RPG,APG,自由球員狀態,,0
women,方曉晴,66,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148341,active,local,2024Rookie,本土,SF/PF,169,64,1999/12/29,北市大學,2024 WSBL 選秀 - #7 順位,,,,,,,,,,,,,,,
women,廖瑋晴,0,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148357,active,local,2023Rookie,本土,C,180,74,2001/01/14,北市大學,加盟: 2024/11/25,,,,,,,,,,,,,,,
women,黃凡珊,5,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148356,active,local,,本土,PG/SG,175,66,1987/09/29,文化大學,加盟: 2024/11/25,,,,,,,,,,,,,,,
women,卓敬,6,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148355,active,local,,本土,SF/PF,172,68,1997/10/13,世新大學,加盟: 2018-19賽季,,,,,,,,,,,,,,,
women,朱育勤,7,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148354,active,local,2020Rookie,本土,PG/SG,163,59,1996/04/01,北市大學,2020 WSBL 選秀 - #3 順位,,,,,,,,,,,,,,,
women,蔡佩真,10,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148352,active,local,,本土,C,186,80,1984/05/27,北市大學,加盟: 2004-05賽季,,,,,,,,,,,,,,,
women,吳盈潔,12,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148351,active,local,,本土,SF/PF,178,68,1992/11/03,臺灣師大,加盟: 2019-20賽季,,,,,,,,,,,,,,,
women,林文佑,13,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148350,active,local,,本土,C,180,70,1995/08/01,文化大學,加盟: 2018-19賽季,,,,,,,,,,,,,,,
women,黃英利,14,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148349,active,local,,本土,SF/PF,170,65,1989/02/24,文化大學,加盟: 2022-23賽季,,,,,,,,,,,,,,,
women,許玟瑄,17,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148348,active,local,2023Rookie,本土,C,177,73,2000/01/17,世新大學,保留名單: 2023-24賽季,,,,,,,,,,,,,,,
women,史靜茹,18,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148347,active,local,2020Rookie,本土,C,182,75,1995/11/06,北市大學,保留名單: 2020-21賽季,,,,,,,,,,,,,,,
women,瑪麗,21,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148382,active,import,,洋將,C,195,88,1994/05/28,-,加盟: 2024/12/20,,,,,,,,,,,,,,,
women,林蝶,22,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148346,active,local,2021Rookie,本土,C,179,70,1999/08/02,世新大學,保留名單: 2021-22賽季,,,,,,,,,,,,,,,
women,宋佩欣,24,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148345,active,taiwanese,2021Rookie,華裔,SF/PF,176,77,1998/03/03,NCAA D1 UC Davis,加盟: 2021-22賽季,,,,,,,,,,,,,,,
women,蘇嘉嫻,27,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148344,active,local,2022Rookie,本土,SF/PF,175,67,1999/09/27,世新大學,保留名單: 2022-23賽季,,,,,,,,,,,,,,,
women,羅培甄,35,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148343,active,local,2020Rookie,本土,SF/PF,175,60,1998/10/11,世新大學,保留名單: 2020-21賽季,,,,,,,,,,,,,,,
women,張琦玟,37,WSBL,taiyuen,https://wsbl.meetagile.com/roster/148342,active,local,2023Rookie,本土,C,179,79,2000/03/04,日本 環太平洋大學,2023 WSBL 選秀 - #3 順位,,,,,,,,,,,,,,,
women,藍浩語,,WSBL,cathay,,,local,,本土,-,170,-,1983/08/02,文化大學,加盟: 2004-05賽季,,,,,,,,,,,,,,,
women,李宥叡,,WSBL,cathay,,,local,,本土,-,180,-,1986/12/23,文化大學,加盟: 2005-06賽季,,,,,,,,,,,,,,,
women,林釵娟,,WSBL,taipower,,,local,2023Rookie,本土,-,174,-,2000/01/03,臺灣師大,2023 WSBL 選秀 - #4 順位,,,,,,,,,,,,,,,
women,李吟娸,,WSBL,taipower,,,local,2022Rookie,本土,-,165,-,2000/09/20,世新大學,2022 WSBL 選秀 - #2 順位,,,,,,,,,,,,,,,
women,林芷安,,WSBL,taipower,,,local,,本土,-,165,-,1991/12/27,北市大學,加盟: 2010-11賽季,,,,,,,,,,,,,,,
women,許庭瑜,,WSBL,cht,,,local,2022Rookie,本土,-,176,-,1997/09/12,臺灣師大,保留名單: 2022-23賽季,,,,,,,,,,,,,,,
,王玥媞,,,cathay,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,
,鄭慧慈,,,cathay,,,,,,,,,2001/10/05,,保留名單,,,,,,,,,,,,,,,
,邱群琋,,,cathay,,,,,,,,,2004/08/23,,保留名單,,,,,,,,,,,,,,,
,林妘樺,,,taiyuen,,,,,,,,,2001/03/04,,保留名單,,,,,,,,,,,,,,,
,趙云楓,,,taiyuen,,,,,,,,,2002/09/18,,2024 WSBL 選秀 - #4 順位,,,,,,,,,,,,,,,
,曾萱儀,,,,,,,,,,,,2001/03/11,,,,,,,,,,,,,,,,,
,彭楹芷,,,taipower,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,
,林奕瑄,,,taipower,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,
,柯采璇,,,taipower,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,
,游沁樺,,,taipower,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,
,陳芊諭,,,taipower,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,
,張婕柔,,,taipower,,,,,,,,,,,保留名單,,,,,,,,,,,,,,,
